age,gender,time_spent,PLATFORM,interests,location,demographics,profession,income,indebt,isHomeOwner,Owns_Car,demographics-PLATFORM
56,male,72:00:00,INSTAGRAM,Sports,United Kingdom,Urban,Software Engineer,"$19,774",True,False,False,Urban-INSTAGRAM
46,female,48:00:00,FACEBOOK,Travel,United Kingdom,Urban,Student,"$10,564",True,True,True,Urban-FACEBOOK
32,male,192:00:00,INSTAGRAM,Sports,Australia,Sub_Urban,Marketer Manager,"$13,258",False,False,False,Sub_Urban-INSTAGRAM
60,non-binary,120:00:00,INSTAGRAM,Travel,United Kingdom,Urban,Student,"$12,500",False,True,False,Urban-INSTAGRAM
25,male,24:00:00,INSTAGRAM,Lifestlye,Australia,Urban,Software Engineer,"$14,566",False,True,True,Urban-INSTAGRAM
38,male,72:00:00,FACEBOOK,Travel,United States,Urban,Marketer Manager,"$19,179",True,True,True,Urban-FACEBOOK
56,male,192:00:00,YOUTUBE,Sports,United States,Urban,Student,"$16,881",True,True,True,Urban-YOUTUBE
36,male,96:00:00,INSTAGRAM,Sports,Australia,Urban,Marketer Manager,"$13,636",True,False,True,Urban-INSTAGRAM
40,non-binary,168:00:00,YOUTUBE,Lifestlye,Australia,Sub_Urban,Marketer Manager,"$16,030",False,False,True,Sub_Urban-YOUTUBE
28,non-binary,48:00:00,INSTAGRAM,Sports,Australia,Sub_Urban,Marketer Manager,"$10,223",True,False,True,Sub_Urban-INSTAGRAM
28,female,168:00:00,YOUTUBE,Lifestlye,United Kingdom,Urban,Student,"$16,297",True,True,False,Urban-YOUTUBE
41,non-binary,120:00:00,FACEBOOK,Sports,United States,Sub_Urban,Marketer Manager,"$10,350",False,False,False,Sub_Urban-FACEBOOK
53,non-binary,120:00:00,FACEBOOK,Sports,Australia,Rural,Student,"$17,314",False,True,True,Rural-FACEBOOK
57,female,144:00:00,INSTAGRAM,Lifestlye,United Kingdom,Urban,Software Engineer,"$11,928",False,True,False,Urban-INSTAGRAM
41,non-binary,216:00:00,YOUTUBE,Travel,United States,Rural,Student,"$17,743",True,True,False,Rural-YOUTUBE
20,male,144:00:00,FACEBOOK,Sports,United Kingdom,Sub_Urban,Software Engineer,"$18,540",True,True,False,Sub_Urban-FACEBOOK
39,male,192:00:00,INSTAGRAM,Travel,United States,Sub_Urban,Student,"$14,732",True,True,False,Sub_Urban-INSTAGRAM
19,female,168:00:00,INSTAGRAM,Sports,United Kingdom,Rural,Marketer Manager,"$11,017",False,True,True,Rural-INSTAGRAM
41,female,216:00:00,FACEBOOK,Sports,United States,Sub_Urban,Student,"$12,226",False,False,False,Sub_Urban-FACEBOOK
61,female,96:00:00,FACEBOOK,Sports,United States,Urban,Marketer Manager,"$17,206",False,False,False,Urban-FACEBOOK
47,male,48:00:00,INSTAGRAM,Sports,United Kingdom,Rural,Software Engineer,"$17,170",False,False,True,Rural-INSTAGRAM
55,non-binary,168:00:00,YOUTUBE,Travel,Australia,Urban,Student,"$16,207",True,False,True,Urban-YOUTUBE
19,male,144:00:00,YOUTUBE,Travel,United States,Rural,Marketer Manager,"$12,419",True,True,True,Rural-YOUTUBE
